Particle,T_g,n_H,H2_abun,C_abun,FUV,x,delta_x,delta_h2_col,delta_c_col,delta_col_dens,total_h2_col,total_c_col,total_col_dens,size
1,100.912,52570.5,0.00646994,1.67653e-06,9.999839999999999,-3.180155828e+19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,102.78,75087.7,0.0505281,2.3961000000000002e-06,9.999839999999999,-3.180155789e+19,20000002048.0,75880784057591.48,3598353127.8713226,1501754153779609.5,435819356126756.6,46655506437.87947,2.3767767064531764e+16,390000001024.0
31,86.2791,92354.0,0.32808200000000004,3.6350999999999997e-06,9.999839999999999,-3.180155766e+19,9999998976.0,302996819253122.56,3357159910.22679,923539905429504.0,4352329224035667.5,106139538071.22644,4.331425579459379e+16,619999997952.0
46,74.5608,100606.0,0.421634,4.40657e-06,9.999839999999999,-3.180155742e+19,9999998976.0,424189058603036.0,4433273360.232761,1006059896979456.0,1.3521566697234084e+16,202479749444.65103,6.671263377908531e+16,859999997952.0
61,71.086,98044.0,0.43926099999999996,4.45519e-06,9.999839999999999,-3.180155718e+19,19999997952.0,861338021478977.5,8736092072.62408,1960879799205888.0,2.3934196269890864e+16,310305218438.2416,9.075010378372915e+16,1099999997952.0
76,70.6339,85227.4,0.44037600000000005,3.933819999999999e-06,9.999839999999999,-3.180155694e+19,19999997952.0,750641953182256.1,6705384326.728573,1704547825454284.8,3.3664169308792984e+16,403517770579.0895,1.1282268280535984e+17,1339999997952.0
91,72.1219,64949.6,0.430407,3.0091800000000002e-06,9.999839999999999,-3.18015567e+19,19999997952.0,559095192492646.44,3908900346.2885637,1298991866983219.2,4.148961248969765e+16,465997932248.75415,1.3076201184181864e+17,1579999997952.0
106,73.2899,41630.9,0.42054899999999995,1.9608900000000003e-06,9.999839999999999,-3.180155446e+19,160000000000.0,2801253338256000.0,13061378480.160002,6660944000000000.0,9.117804974303091e+16,752499967063.1732,2.46887213884842e+17,3819999997952.0
121,78.0168,20354.6,0.371267,9.27564e-07,9.999839999999999,-3.180155208e+19,150000001024.0,1133548699468359.0,2832029148.493319,3053190020843110.0,1.1979192538991552e+17,856038954510.8936,3.1811886094056576e+17,6200000000000.0
136,83.4285,5758.65,0.22981300000000002,2.40344e-07,9.999839999999999,-3.180154969e+19,160000000000.0,211746021192000.0,221449116.096,921384000000000.0,1.2891668550892216e+17,872829018057.659,3.464834505495602e+17,8590000001024.0
151,90.1299,1024.67,0.0668265,3.9518599999999996e-08,9.999839999999999,-3.18015473e+19,160000000000.0,10956017560800.0,6478963.81792,163947200000000.0,1.2975543988899811e+17,873528235551.462,3.520661069521927e+17,10980000002048.0
166,82.7834,7184.67,0.257936,3.0484e-07,9.999839999999999,-3.180154492e+19,160000000000.0,296509606579200.0,350427968.448,1149547200000000.0,1.3131764269869862e+17,875054607936.212,3.6023335735343706e+17,13360000000000.0
181,76.8019,22895.8,0.387113,1.06049e-06,9.999839999999999,-3.180154253e+19,160000000000.0,1418121892064000.0,3884922710.72,3663328000000000.0,1.4370530945161094e+17,901400970845.7614,3.9583593756621075e+17,15750000001024.0
196,67.4802,44733.3,0.454479,2.30656e-06,9.999839999999999,-3.180152011e+19,1589999996928.0,3.2325249204158184e+16,164056263995.35092,7.1125946862579304e+16,4.8272133006641926e+17,2297311689824.214,1.1774465784937021e+18,38169999998976.0
211,61.3909,67936.9,0.47747399999999995,3.75356e-06,9.999839999999999,-3.180149626e+19,1590000001024.0,5.157658442427061e+16,405458316539.8854,1.0801967106956738e+17,1.1232059016958406e+18,6562930959785.289,2.541883613681835e+18,62020000002048.0
226,57.4098,87448.4,0.48618,5.076600000000001e-06,9.999839999999999,-3.180147241e+19,1590000001024.0,6.759990439161603e+16,705865470884.1952,1.3904295608954715e+17,2.031351119103047e+18,15037386644995.758,4.422360713633141e+18,85870000001024.0
241,54.9536,99014.7,0.48985100000000004,5.99523e-06,9.999839999999999,-3.180144856e+19,1590000001024.0,7.71188952470895e+16,943849281418.6527,1.5743337310139104e+17,3.1311476789088215e+18,27702556629166.58,6.674106629542551e+18,109720000000000.0
256,54.0251,100114.0,0.49134799999999995,6.26548e-06,9.999839999999999,-3.180142471e+19,1590000001024.0,7.821339378885138e+16,997347001547.1165,1.5918126010251674e+17,4.3076951340539064e+18,42563733106277.56,9.07141481943916e+18,133569999998976.0
271,54.3573,90507.8,0.491508,5.83774e-06,9.999839999999999,-3.180140086e+19,1589999996928.0,7.073163920555714e+16,840093995328.3551,1.4390740172196005e+17,5.431057938516988e+18,56506639902809.516,1.1356858718357983e+19,157419999997952.0
286,54.0114,72289.0,0.49356400000000006,5.48196e-06,9.999839999999999,-3.180117666e+19,15900000002048.0,5.6730004320947117e+17,6300937963207.593,1.1493951001480479e+18,1.4366192792011047e+19,160401632178649.1,2.9481864037688046e+19,381620000002048.0
