,count,mean,std,min,25%,50%,75%,max
gas_temp,19960000.0,2.2596650328301093,0.7061800199133289,0.9912260756924949,1.7456212213069384,2.1488185146020182,2.7800579544245285,4.209469974260897
gas_density,19960000.0,3.4953393166355697,1.4410458891514768,1.0002604985473904,2.2476295685932186,3.495002794445062,4.742377425166186,5.999748036123907
radfield,19960000.0,1.9975478757495957,1.7328463949050534,-0.9997000000000001,0.4971500000000001,1.994,3.4998499999999995,4.9997
zeta,19960000.0,0.9999290881791163,1.7324165686735093,-1.9997,-0.50045,1.0003000000000002,2.5004500000000003,3.9997
coldens,19960000.0,19.504079308695857,2.597556117812123,15.00045,17.254725,19.5054,21.754275,23.99955
h2col,19960000.0,14.909272842805807,4.507509989103699,5.06013651861373,11.639128651791788,14.489522344955457,17.79313584146959,23.698520004336018
ccol,19960000.0,11.118773017508351,4.620385316595135,0.08286887678146011,7.548958493545622,10.696223315184517,15.306020366053696,20.18513910006226
metallicity,19960000.0,-0.744026860723233,0.7226258063174723,-1.9998756502982165,-1.3701897410716581,-0.7388750603032985,-0.11762488656971246,0.4998756843040912
Chem_1,19960000.0,-0.13563203811645508,0.06297661364078522,-0.27846458554267883,-0.18323954939842224,-0.12547023594379425,-0.08524223417043686,-0.0006374047370627522
Chem_2,19960000.0,-0.14461596310138702,0.07561337947845459,-0.2784646153450012,-0.2062338888645172,-0.14525038748979568,-0.08713681250810623,0.4021744728088379
Chem_3,19960000.0,1.9756807088851929,0.8902084231376648,-0.2736481726169586,1.3230996131896973,1.934167742729187,2.6444523334503174,7.883877754211426
Chem_4,19960000.0,3.13055157661438,3.0450360774993896,-0.2782125771045685,0.35769300162792206,2.465659022331238,5.489680051803589,16.006738662719727
Chem_5,19960000.0,-0.16183069348335266,0.06944655627012253,-0.27846458554267883,-0.22117457166314125,-0.16437426209449768,-0.0995270125567913,-6.433241651393473e-05
Chem_6,19960000.0,0.05259028077125549,0.5116094350814819,-0.2784646153450012,-0.23890069499611855,-0.180356964468956,-0.03902147896587849,2.707730293273926
Chem_7,19960000.0,-0.1566731035709381,0.07618889212608337,-0.27846458554267883,-0.22015291452407837,-0.16460394859313965,-0.09124908968806267,0.020322322845458984
Chem_8,19960000.0,3.2217934131622314,1.0607130527496338,-0.26738905906677246,2.4175055027008057,3.0859419107437134,3.753178656101227,6.765892505645752
